============================================================
EXPERIMENT START
[1767091049.270] MOVEMENT
[1767091049.303] MOVEMENT
[1767091049.333] MOVEMENT
[1767091049.367] MOVEMENT
[1767091049.400] MOVEMENT
[1767091049.447] MOVEMENT
[1767091049.479] MOVEMENT
[1767091049.512] MOVEMENT
[1767091049.543] MOVEMENT
[1767091049.576] MOVEMENT
[1767091049.607] MOVEMENT
[1767091049.640] MOVEMENT
[1767091049.672] MOVEMENT
[1767091049.704] MOVEMENT
[1767091049.734] MOVEMENT
[1767091049.768] MOVEMENT
[1767091049.815] MOVEMENT
[1767091049.846] MOVEMENT
[1767091049.880] MOVEMENT
[1767091049.911] MOVEMENT
[1767091049.944] MOVEMENT
[1767091049.975] MOVEMENT
[1767091050.008] MOVEMENT
[1767091050.040] MOVEMENT
[1767091050.071] MOVEMENT
[1767091050.104] MOVEMENT
[1767091050.136] MOVEMENT
[1767091050.176] STIMULATION type=visual+audio
[1767091050.186] MOVEMENT
[1767091050.214] MOVEMENT
[1767091050.246] MOVEMENT
[1767091050.278] MOVEMENT
[1767091050.309] MOVEMENT
[1767091050.341] MOVEMENT
[1767091050.375] MOVEMENT
[1767091050.406] MOVEMENT
[1767091050.438] MOVEMENT
[1767091050.472] MOVEMENT
[1767091050.503] MOVEMENT
[1767091050.536] MOVEMENT
[1767091050.583] MOVEMENT
[1767091050.615] MOVEMENT
[1767091050.646] MOVEMENT
[1767091050.677] MOVEMENT
[1767091050.709] MOVEMENT
[1767091050.741] MOVEMENT
[1767091050.775] MOVEMENT
[1767091050.808] MOVEMENT
[1767091050.838] MOVEMENT
[1767091050.869] MOVEMENT
[1767091050.902] MOVEMENT
[1767091050.951] MOVEMENT
[1767091050.981] MOVEMENT
[1767091051.014] MOVEMENT
[1767091051.046] MOVEMENT
[1767091051.078] MOVEMENT
[1767091051.111] MOVEMENT
[1767091051.143] MOVEMENT
[1767091051.175] MOVEMENT
[1767091051.207] MOVEMENT
[1767091051.208] REACTION movement_within_response_window
[1767091051.238] MOVEMENT
[1767091051.269] MOVEMENT
[1767091051.319] MOVEMENT
[1767091051.352] MOVEMENT
[1767091051.383] MOVEMENT
[1767091053.014] MOVEMENT
[1767091053.045] MOVEMENT
[1767091053.079] MOVEMENT
[1767091053.110] MOVEMENT
[1767091053.590] MOVEMENT
[1767091053.621] MOVEMENT
[1767091053.654] MOVEMENT
[1767091054.182] MOVEMENT
[1767091054.215] MOVEMENT
[1767091054.246] MOVEMENT
[1767091054.294] MOVEMENT
[1767091054.326] MOVEMENT
[1767091054.358] MOVEMENT
[1767091054.391] MOVEMENT
[1767091054.422] MOVEMENT
[1767091054.454] MOVEMENT
[1767091054.486] MOVEMENT
[1767091054.517] MOVEMENT
[1767091054.919] MOVEMENT
[1767091054.950] MOVEMENT
[1767091054.983] MOVEMENT
[1767091055.014] MOVEMENT
[1767091055.062] MOVEMENT
[1767091055.094] MOVEMENT
[1767091055.126] MOVEMENT
[1767091060.192] STIMULATION type=visual+audio
[1767091061.236] MOVEMENT
[1767091061.237] REACTION movement_within_response_window
[1767091061.267] MOVEMENT
[1767091061.300] MOVEMENT
[1767091061.331] MOVEMENT
[1767091061.364] MOVEMENT
[1767091061.413] MOVEMENT
[1767091061.446] MOVEMENT
[1767091061.477] MOVEMENT
[1767091061.509] MOVEMENT
[1767091061.541] MOVEMENT
[1767091061.574] MOVEMENT
[1767091061.605] MOVEMENT
[1767091061.638] MOVEMENT
[1767091061.669] MOVEMENT
[1767091061.702] MOVEMENT
[1767091061.733] MOVEMENT
[1767091061.782] MOVEMENT
[1767091061.815] MOVEMENT
[1767091061.846] MOVEMENT
[1767091061.878] MOVEMENT
[1767091061.910] MOVEMENT
[1767091061.942] MOVEMENT
[1767091061.974] MOVEMENT
[1767091062.004] MOVEMENT
[1767091062.037] MOVEMENT
[1767091062.070] MOVEMENT
[1767091062.103] MOVEMENT
[1767091067.622] MOVEMENT
[1767091067.654] MOVEMENT
[1767091067.686] MOVEMENT
[1767091067.718] MOVEMENT
[1767091067.765] MOVEMENT
[1767091067.798] MOVEMENT
[1767091067.829] MOVEMENT
[1767091067.862] MOVEMENT
[1767091067.894] MOVEMENT
[1767091067.925] MOVEMENT
[1767091067.958] MOVEMENT
[1767091067.989] MOVEMENT
[1767091068.021] MOVEMENT
[1767091068.053] MOVEMENT
[1767091068.086] MOVEMENT
[1767091068.133] MOVEMENT
[1767091068.165] MOVEMENT
[1767091069.398] MOVEMENT
[1767091069.429] MOVEMENT
[1767091069.461] MOVEMENT
[1767091069.494] MOVEMENT
[1767091069.526] MOVEMENT
[1767091069.559] MOVEMENT
[1767091069.606] MOVEMENT
[1767091069.636] MOVEMENT
[1767091069.670] MOVEMENT
[1767091069.699] MOVEMENT
[1767091069.733] MOVEMENT
[1767091069.765] MOVEMENT
[1767091069.797] MOVEMENT
[1767091069.828] MOVEMENT
[1767091070.223] STIMULATION type=visual+audio
[1767091072.439] MOVEMENT
[1767091072.440] REACTION movement_within_response_window
[1767091072.470] MOVEMENT
[1767091072.502] MOVEMENT
[1767091072.534] MOVEMENT
[1767091072.566] MOVEMENT
[1767091072.613] MOVEMENT
[1767091072.645] MOVEMENT
[1767091072.677] MOVEMENT
[1767091072.709] MOVEMENT
[1767091072.741] MOVEMENT
[1767091072.775] MOVEMENT
[1767091072.806] MOVEMENT
[1767091072.838] MOVEMENT
[1767091072.870] MOVEMENT
[1767091072.902] MOVEMENT
[1767091072.934] MOVEMENT
[1767091072.983] MOVEMENT
[1767091073.015] MOVEMENT
[1767091073.047] MOVEMENT
[1767091073.078] MOVEMENT
[1767091073.110] MOVEMENT
[1767091073.142] MOVEMENT
[1767091073.173] MOVEMENT
[1767091073.206] MOVEMENT
[1767091073.238] MOVEMENT
[1767091073.270] MOVEMENT
[1767091073.302] MOVEMENT
[1767091073.349] MOVEMENT
